SUB	GE	S/P	FP/SP/TP
ಯುವಕ	M	S	T
ಯುವಕರು	M	P	T
ಯುವತಿ	F	S	T
ಯುವತಿಯರು	F	P	T
ಅತ್ತೆ	F	S	T 
ಅತ್ತೆಯರು	F	P	T
ಮಾವ	M	S	T
ಮಾವಂದಿರು	M	P	T
ನಾಯಿ	N	S	T
ನಾಯಿಗಳು	N	P	T
ಬೆಕ್ಕು	N	S	T
ಬೆಕ್ಕುಗಳು	N	P	T
ಸಿಂಹ	N	S	T
ಸಿಂಹಗಳು	N	P	T 
ಹುಲಿ	N	S	T 
ಹುಲಿಗಳು	N	P	T 
ಹಣ್ಣು	N	S	T 
ಹಣ್ಣುಗಳು	N	P	T 
